NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,02/27/2018,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2016,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0514701 AR EBT WOODRUFF COUNTY,37,,1572,,1609,,15,,817,,832,,177630
0514901 AR EBT YELL COUNTY,7,,3017,,3024,,1,,1224,,1225,,321686
0515992 AR EBT 92-1 Field Operations,3,,19,,22,,1,,15,,16,,1807
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,16539,,98881,,115420,,7101,,52948,,60049,,16731000
0600302 CA EBT ALPINE COUNTY DSS,3,,155,,158,,2,,97,,99,,19332
0600501 CA EBT AMADOR COUNTY DSS,481,,2900,,3381,,183,,1598,,1781,,459123
0600702 CA EBT BUTTE COUNTY DSS,4520,,27548,,32068,,1816,,15028,,16844,,4388913
0600901 CA EBT CALAVERAS CO DSW,667,,4566,,5233,,249,,2568,,2817,,696144
0601101 CA EBT COLUSA COUNTY DSW,232,,1088,,1320,,88,,500,,588,,183724
0601302 CA EBT CONTRA COSTA COUNTY DSS,10704,,58936,,69640,,4568,,30283,,34851,,9959462
0601501 CA EBT DEL NORTE CO DSW,1137,,4221,,5358,,414,,2208,,2622,,726414
0601704 CA EBT EL DORADO COUNTY DSS,1398,,11533,,12931,,575,,6631,,7206,,1738667
0601904 CA EBT FRESNO COUNTY DSW,38912,,187611,,226523,,14200,,83149,,97349,,32745333
0602102 CA EBT GLENN CO WELFARE DEPT,612,,2955,,3567,,222,,1302,,1524,,445761
0602303 CA EBT HUMBOLDT CO DSW,2477,,18712,,21189,,985,,11436,,12421,,2928804
0602501 CA EBT IMPERIAL CO DSW,7074,,35949,,43023,,2457,,14951,,17408,,5490562
0602701 CA EBT INYO COUNTY WELF DEPT,330,,1766,,2096,,118,,960,,1078,,265229
0602902 CA EBT KERN,29484,,132890,,162374,,10900,,58751,,69651,,21937222
0603101 CA EBT KINGS COUNTY DPW,4002,,20958,,24960,,1475,,9412,,10887,,3218454
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,1588,,10983,,12571,,607,,5978,,6585,,1728465
0603501 CA EBT LASSEN CO DSW,691,,2466,,3157,,252,,1284,,1536,,438322
0603720 CA EBT LOS ANGELES COUNTY DPSS,185980,,946782,,1132762,,84544,,483300,,567844,,164766923
0603902 CA EBT MADERA CO DSW,5544,,24541,,30085,,2009,,10315,,12324,,4010946
0604102 CA EBT MARIN COUNTY DSW,1270,,8777,,10047,,572,,5592,,6164,,1423705
0604301 CA EBT MARIPOSA CO DSW,356,,1741,,2097,,126,,1001,,1127,,277935
0604501 CA EBT MENDOCINO CO WELF DEPT,1769,,11274,,13043,,685,,6242,,6927,,1826112
0604701 CA EBT MERCED CO DPW,12163,,45828,,57991,,4458,,20586,,25044,,7829038
0604901 CA EBT MODOC COUNTY DSS,198,,861,,1059,,78,,413,,491,,135584
0605101 CA EBT MONO CO WELFARE DEPT,48,,747,,795,,15,,432,,447,,105641
0605302 CA EBT MONTEREY CO DSW,8554,,45544,,54098,,3384,,20788,,24172,,7603308
0605502 CA EBT NAPA CO WELFARE DEPT,834,,6611,,7445,,345,,3260,,3605,,943451
0605701 CA EBT NEVADA CO DPSS,790,,6886,,7676,,307,,3994,,4301,,1057576
0605903 CA EBT ORANGE CO DSW,31053,,221929,,252982,,12018,,109995,,122013,,34047228
0606101 CA EBT PLACER CO WELFARE DEPT,1998,,15868,,17866,,775,,8548,,9323,,2292118
0606301 CA EBT PLUMAS COUNTY DSS,288,,1917,,2205,,115,,1070,,1185,,302338
0606503 CA EBT RIVERSIDE COUNTY DSS,45493,,246322,,291815,,16690,,113059,,129749,,38747029
0606703 CA EBT SACRAMENTO CO DSW,40964,,174520,,215484,,15850,,87332,,103182,,30782282
0606902 CA EBT SAN BENITO COUNTY DSS,778,,5158,,5936,,283,,2384,,2667,,778225
0607105 CA EBT SAN BRNDINO CO DPSS AU,70943,,323983,,394926,,26584,,152999,,179583,,53920703
0607301 CA EBT SAN DIEGO CO DSS,41770,,245831,,287601,,15263,,126232,,141495,,38553686
0607502 CA EBT SAN FRANCISCO COUNTY DSS,5304,,44978,,50282,,2388,,30567,,32955,,7254060
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,20085,,98318,,118403,,7883,,44479,,52362,,15984408
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2622,,15998,,18620,,1040,,9052,,10092,,2530559
0608103 CA EBT SAN MATEO COUNTY DSS,2387,,27633,,30020,,1008,,14464,,15472,,3901021
0608304 CA EBT SANTA BARBARA CO DSW,6555,,32906,,39461,,2577,,16166,,18743,,5352226
0608502 CA EBT SANTA CLARA COUNTY DSS,12108,,92110,,104218,,5018,,47977,,52995,,14196763
0608702 CA EBT SANTA CRUZ CO DSW,2953,,24451,,27404,,1207,,13591,,14798,,3708999
0608901 CA EBT SHASTA CO DSW,3439,,21264,,24703,,1380,,11512,,12892,,3219433
0609101 CA EBT SIERRA CO HUMAN SVCS,13,,284,,297,,5,,159,,164,,40675
0609301 CA EBT SISKIYOU CO DSW,1283,,5818,,7101,,459,,2865,,3324,,936849
0609502 CA EBT SOLANO CO DSW,6909,,36457,,43366,,2858,,19890,,22748,,6114561
0609701 CA EBT SONOMA CO DSW,4016,,30659,,34675,,1672,,17788,,19460,,4658992
0609902 CA EBT STANISLAUS CO. DSS,15205,,74684,,89889,,5844,,36705,,42549,,12144320
0610101 CA EBT SUTTER CO WELF DEPT,2136,,11032,,13168,,767,,4944,,5711,,1758435
0610301 CA EBT TEHAMA CO DSW,1491,,8608,,10099,,548,,4105,,4653,,1315091
0610501 CA EBT TRINITY CO DSW,164,,1632,,1796,,68,,957,,1025,,256298
0610704 CA EBT TULARE COUNTY DSS,23606,,100803,,124409,,8573,,44553,,53126,,16989062
0610901 CA EBT TUOLUMNE CO WELF DEPT,842,,4753,,5595,,329,,2862,,3191,,745319
0611101 CA EBT VENTURA CO.,8245,,67269,,75514,,3182,,34250,,37432,,10125001
0611301 CA EBT YOLO CO DSW,2756,,18313,,21069,,1040,,9609,,10649,,2844033
0611501 CA EBT YUBA CO WELFARE DEPT,2342,,11178,,13520,,874,,5437,,6311,,1873172
0800301 CO EBT ALAMOSA CO DSS,721,,3460,,4181,,372,,1799,,2171,,530187
0800701 CO EBT ARCHULETA CO DSS,82,,940,,1022,,49,,440,,489,,115810
0800901 CO EBT BACA CO DSS,57,,417,,474,,29,,174,,203,,48796
0801101 CO EBT BENT CO DSS,119,,761,,880,,71,,376,,447,,95957
0801301 CO EBT BOULDER CO DSS,1939,,13233,,15172,,1186,,6688,,7874,,1919012
0801501 CO EBT CHAFFEE CO DSS,132,,1120,,1252,,91,,591,,682,,146560
0801701 CO EBT CHEYENNE CO DSS,17,,150,,167,,12,,61,,73,,20166
0801901 CO EBT CLEAR CREEK,59,,576,,635,,48,,333,,381,,85470
0802101 CO EBT CONEJOS CO DSS,264,,1446,,1710,,147,,682,,829,,205988
0802301 CO EBT COSTILLA CO DSS,249,,1067,,1316,,139,,548,,687,,159932
0802501 CO EBT CROWLEY CO DSS,147,,797,,944,,80,,351,,431,,109369
0802701 CO EBT CUSTER CO DSS,63,,312,,375,,28,,174,,202,,45537
0802901 CO EBT DELTA CO DSS,366,,3682,,4048,,217,,1716,,1933,,499694
0803102 CO EBT DENVER,12611,,69958,,82569,,7651,,33600,,41251,,10883786
0803301 CO EBT DOLORES CO DSS,19,,125,,144,,13,,58,,71,,17789
0803501 CO EBT DOUGLAS,314,,4419,,4733,,236,,2025,,2261,,598075
0803701 CO EBT EAGLE CO DSS,102,,1292,,1394,,60,,616,,676,,177465
0803901 CO EBT ELBERT CO DSS,63,,928,,991,,38,,391,,429,,126090
0804101 CO EBT EL PASO CO DSS,6287,,63880,,70167,,3252,,29110,,32362,,9149954
0804301 CO EBT FREMONT CO DSS,995,,5166,,6161,,508,,2565,,3073,,740791
