NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,07/30/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2021,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,21874,,72992,,94866,,12656,,34738,,47394,,17426094
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2867,,14255,,17122,,1784,,8686,,10470,,1903414
0608103 CA EBT SAN MATEO COUNTY DSS,3852,,23781,,27633,,2774,,13201,,15975,,5052878
0608304 CA EBT SANTA BARBARA CO DSW,6868,,35971,,42839,,3886,,20029,,23915,,7914572
0608502 CA EBT SANTA CLARA COUNTY DSS,23756,,75927,,99683,,16514,,43217,,59731,,18191360
0608702 CA EBT SANTA CRUZ CO DSW,3911,,22376,,26287,,2428,,13750,,16178,,4855515
0608901 CA EBT SHASTA CO DSW,5206,,17859,,23065,,3641,,10034,,13675,,4324000
0609101 CA EBT SIERRA CO HUMAN SVCS,45,,216,,261,,30,,142,,172,,27425
0609301 CA EBT SISKIYOU CO DSW,1640,,5659,,7299,,1106,,3037,,4143,,1381462
0609502 CA EBT SOLANO CO DSW,8329,,34405,,42734,,5224,,19431,,24655,,7702702
0609701 CA EBT SONOMA CO DSW,4885,,25094,,29979,,3319,,15112,,18431,,5614168
0609902 CA EBT STANISLAUS CO. DSS,16533,,52416,,68949,,9107,,26519,,35626,,12770147
0610101 CA EBT SUTTER CO WELF DEPT,2848,,8538,,11386,,1473,,4035,,5508,,2068710
0610301 CA EBT TEHAMA CO DSW,2223,,7024,,9247,,1401,,3608,,5009,,1007247
0610501 CA EBT TRINITY CO DSW,398,,1497,,1895,,265,,895,,1160,,241345
0610704 CA EBT TULARE COUNTY DSS,21101,,77079,,98180,,9700,,33731,,43431,,17709839
0610901 CA EBT TUOLUMNE CO WELF DEPT,885,,3939,,4824,,673,,2454,,3127,,906473
0611101 CA EBT VENTURA CO.,9610,,53755,,63365,,5820,,28537,,34357,,7680163
0611301 CA EBT YOLO CO DSW,3410,,16263,,19673,,2169,,10005,,12174,,2461048
0611501 CA EBT YUBA CO WELFARE DEPT,3358,,10324,,13682,,1861,,5009,,6870,,2486988
0800301 CO EBT ALAMOSA CO DSS,401,,3994,,4395,,254,,2213,,2467,,934344
0800701 CO EBT ARCHULETA CO DSS,80,,1429,,1509,,55,,695,,750,,320956
0800901 CO EBT BACA CO DSS,78,,553,,631,,46,,263,,309,,129926
0801101 CO EBT BENT CO DSS,77,,839,,916,,50,,457,,507,,200605
0801301 CO EBT BOULDER CO DSS,1343,,13985,,15328,,810,,7755,,8565,,3258895
0801501 CO EBT CHAFFEE CO DSS,155,,1322,,1477,,89,,813,,902,,319240
0801701 CO EBT CHEYENNE CO DSS,6,,148,,154,,4,,71,,75,,31584
0801901 CO EBT CLEAR CREEK,46,,504,,550,,37,,337,,374,,119467
0802101 CO EBT CONEJOS CO DSS,134,,1301,,1435,,98,,656,,754,,303974
0802301 CO EBT COSTILLA CO DSS,138,,1187,,1325,,97,,673,,770,,282910
0802501 CO EBT CROWLEY CO DSS,78,,794,,872,,51,,418,,469,,184958
0802701 CO EBT CUSTER CO DSS,44,,369,,413,,23,,235,,258,,90862
0802901 CO EBT DELTA CO DSS,206,,3846,,4052,,150,,1977,,2127,,862457
0803102 CO EBT DENVER,7983,,68765,,76748,,5028,,36404,,41432,,16317792
0803301 CO EBT DOLORES CO DSS,13,,230,,243,,11,,106,,117,,50446
0803501 CO EBT DOUGLAS,392,,6155,,6547,,247,,2980,,3227,,1386097
0803701 CO EBT EAGLE CO DSS,107,,1165,,1272,,53,,615,,668,,271909
0803901 CO EBT ELBERT CO DSS,45,,782,,827,,24,,363,,387,,172548
0804101 CO EBT EL PASO CO DSS,4908,,69050,,73958,,2509,,35030,,37539,,15465630
0804301 CO EBT FREMONT CO DSS,562,,6485,,7047,,354,,3442,,3796,,1481990
0804501 CO EBT GARFIELD CO DSS,281,,3789,,4070,,158,,1914,,2072,,850105
0804701 CO EBT GILPIN,37,,475,,512,,19,,269,,288,,109145
0804901 CO EBT GRAND,24,,496,,520,,18,,272,,290,,113606
0805101 CO EBT GUNN HINSDALE CO DSS,69,,949,,1018,,33,,557,,590,,217330
0805301 CO EBT HINSDALE,0,,16,,16,,0,,10,,10,,3192
0805501 CO EBT HUERFANO CO DSS,163,,1507,,1670,,95,,850,,945,,357629
0805701 CO EBT JACKSON,11,,113,,124,,5,,55,,60,,27431
0805901 CO EBT JEFFERSON CO DSS,2401,,28417,,30818,,1431,,14892,,16323,,6538483
0806101 CO EBT KIOWA CO DSS,10,,205,,215,,7,,94,,101,,44451
0806301 CO EBT KIT CARSON CO DSS,52,,714,,766,,24,,339,,363,,160876
0806501 CO EBT LAKE CO DSS,23,,458,,481,,12,,244,,256,,103174
0806701 CO EBT LA PLATA CO DSS,400,,3972,,4372,,207,,2074,,2281,,923970
0806901 CO EBT LARIMER CO DSS,1812,,22520,,24332,,960,,11954,,12914,,5201995
0807101 CO EBT LAS ANIMAS CO DSS,340,,2867,,3207,,216,,1610,,1826,,685182
0807301 CO EBT LINCOLN CO DSS,19,,565,,584,,14,,275,,289,,125002
0807501 CO EBT LOGAN CO DSS,140,,2494,,2634,,101,,1338,,1439,,557661
0807701 CO EBT MESA CO DSS,1221,,17414,,18635,,730,,8878,,9608,,3952303
0807901 CO EBT MINERAL,1,,49,,50,,1,,33,,34,,10690
0808101 CO EBT MOFFAT CO DSS,108,,1313,,1421,,60,,682,,742,,301690
0808301 CO EBT MONTEZUMA CO DSS,205,,4358,,4563,,155,,2089,,2244,,946300
0808501 CO EBT MONTROSE CO DSS,234,,4710,,4944,,172,,2470,,2642,,1040682
0808701 CO EBT MORGAN CO DSS,227,,2809,,3036,,124,,1241,,1365,,616187
0808901 CO EBT OTERO CO DSS,322,,3874,,4196,,218,,1931,,2149,,867151
0809101 CO EBT OURAY CO DSS,17,,206,,223,,14,,119,,133,,46908
0809301 CO EBT PARK CO DSS,82,,1121,,1203,,55,,621,,676,,257576
0809501 CO EBT PHILLIPS CO DSS,38,,419,,457,,20,,202,,222,,93489
0809701 CO EBT PITKIN,10,,267,,277,,9,,202,,211,,63443
0809901 CO EBT PROWERS CO DSS,267,,2377,,2644,,155,,1146,,1301,,551253
0810101 CO EBT PUEBLO CO DSS,3220,,35617,,38837,,1869,,18516,,20385,,8197729
0810301 CO EBT RIO BLANCO CO DSS,39,,617,,656,,21,,277,,298,,138235
0810501 CO EBT RIO GRANDE CO DSS,191,,2000,,2191,,147,,1014,,1161,,450071
0810701 CO EBT ROUTT CO DSS,19,,588,,607,,13,,383,,396,,137500
0810901 CO EBT SAGUACHE CO DSS,98,,1114,,1212,,78,,625,,703,,258623
0811101 CO EBT SAN JUAN CO DSS,6,,45,,51,,4,,27,,31,,10666
0811301 CO EBT SAN MIGUEL CO DSS,12,,284,,296,,8,,176,,184,,63201
0811501 CO EBT SEDGWICK CO DSS,32,,375,,407,,18,,190,,208,,85309
