NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,  , ,,,,,
Jan 2015,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0513101 AR EBT SEBASTIAN COUNTY,335,,18938,,19273,,101,,8013,,8114,,2228690
0513301 AR EBT SEVIER COUNTY,84,,3232,,3316,,25,,1306,,1331,,381051
0513501 AR EBT SHARP COUNTY,107,,3180,,3287,,29,,1387,,1416,,373109
0513701 AR EBT STONE COUNTY,34,,2173,,2207,,11,,957,,968,,219459
0513901 AR EBT UNION COUNTY,203,,7494,,7697,,60,,3498,,3558,,936730
0514101 AR EBT VAN BUREN COUNTY,32,,2865,,2897,,10,,1255,,1265,,331572
0514301 AR EBT WASHINGTON COUNTY,564,,23701,,24265,,169,,9616,,9785,,2801023
0514501 AR EBT WHITE COUNTY,465,,11103,,11568,,136,,4753,,4889,,1339041
0514701 AR EBT WOODRUFF COUNTY,69,,1494,,1563,,22,,766,,788,,178810
0514901 AR EBT YELL COUNTY,8,,3150,,3158,,2,,1236,,1238,,342198
0515992 AR EBT 92-1 Field Operations,331,,20052,,20383,,114,,17540,,17654,,1246254
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,20958,,98246,,119204,,8932,,51900,,60832,,17905417
0600302 CA EBT ALPINE COUNTY DSS,8,,163,,171,,4,,103,,107,,22714
0600501 CA EBT AMADOR COUNTY DSS,448,,2827,,3275,,176,,1543,,1719,,452332
0600702 CA EBT BUTTE COUNTY DSS,4977,,26226,,31203,,2006,,13951,,15957,,4389061
0600901 CA EBT CALAVERAS CO DSW,732,,4680,,5412,,276,,2615,,2891,,743951
0601101 CA EBT COLUSA COUNTY DSW,302,,1317,,1619,,112,,574,,686,,224642
0601302 CA EBT CONTRA COSTA COUNTY DSS,12604,,58740,,71344,,5292,,29883,,35175,,10551070
0601501 CA EBT DEL NORTE CO DSW,1113,,4015,,5128,,419,,2047,,2466,,729491
0601704 CA EBT EL DORADO COUNTY DSS,1530,,11488,,13018,,605,,6573,,7178,,1792653
0601904 CA EBT FRESNO COUNTY DSW,41946,,184823,,226769,,15394,,80902,,96296,,33687375
0602102 CA EBT GLENN CO WELFARE DEPT,688,,2988,,3676,,251,,1268,,1519,,474085
0602303 CA EBT HUMBOLDT CO DSW,2577,,17685,,20262,,1042,,10453,,11495,,2846466
0602501 CA EBT IMPERIAL CO DSW,6842,,34752,,41594,,2428,,14114,,16542,,5488422
0602701 CA EBT INYO COUNTY WELF DEPT,298,,1759,,2057,,111,,928,,1039,,274549
0602902 CA EBT KERN,30005,,118867,,148872,,11119,,52410,,63529,,21046114
0603101 CA EBT KINGS COUNTY DPW,4373,,19507,,23880,,1632,,8580,,10212,,3221741
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,1792,,9808,,11600,,689,,5233,,5922,,1650082
0603501 CA EBT LASSEN CO DSW,767,,2414,,3181,,288,,1257,,1545,,452052
0603720 CA EBT LOS ANGELES COUNTY DPSS,188408,,981922,,1170330,,82317,,496750,,579067,,174954729
0603902 CA EBT MADERA CO DSW,5664,,23580,,29244,,2089,,9770,,11859,,4106006
0604102 CA EBT MARIN COUNTY DSW,1480,,8574,,10054,,668,,5490,,6158,,1496873
0604301 CA EBT MARIPOSA CO DSW,405,,1625,,2030,,152,,920,,1072,,290663
0604501 CA EBT MENDOCINO CO WELF DEPT,2041,,11084,,13125,,807,,6302,,7109,,1922247
0604701 CA EBT MERCED CO DPW,13171,,44571,,57742,,4798,,19822,,24620,,8053170
0604901 CA EBT MODOC COUNTY DSS,228,,795,,1023,,85,,382,,467,,135385
0605101 CA EBT MONO CO WELFARE DEPT,43,,803,,846,,16,,481,,497,,116646
0605302 CA EBT MONTEREY CO DSW,9434,,42779,,52213,,3756,,19401,,23157,,7636934
0605502 CA EBT NAPA CO WELFARE DEPT,882,,6450,,7332,,363,,3181,,3544,,1001844
0605701 CA EBT NEVADA CO DPSS,1052,,6640,,7692,,400,,3840,,4240,,1124432
0605903 CA EBT ORANGE CO DSW,33530,,215724,,249254,,13158,,105490,,118648,,34999151
0606101 CA EBT PLACER CO WELFARE DEPT,2361,,15947,,18308,,927,,8756,,9683,,2425850
0606301 CA EBT PLUMAS COUNTY DSS,295,,1731,,2026,,114,,944,,1058,,289911
0606503 CA EBT RIVERSIDE COUNTY DSS,50100,,241100,,291200,,18571,,107787,,126358,,39477273
0606703 CA EBT SACRAMENTO CO DSW,45315,,171824,,217139,,17676,,85185,,102861,,32028887
0606902 CA EBT SAN BENITO COUNTY DSS,900,,5264,,6164,,333,,2389,,2722,,840703
0607105 CA EBT SAN BRNDINO CO DPSS AU,76788,,319727,,396515,,28476,,148146,,176622,,55324218
0607301 CA EBT SAN DIEGO CO DSS,47513,,236728,,284241,,17636,,120152,,137788,,39598249
0607502 CA EBT SAN FRANCISCO COUNTY DSS,5649,,43286,,48935,,2529,,29307,,31836,,7339676
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,23548,,95618,,119166,,9147,,42336,,51483,,16771777
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2802,,15520,,18322,,1124,,8681,,9805,,2544404
0608103 CA EBT SAN MATEO COUNTY DSS,3046,,27986,,31032,,1257,,14384,,15641,,4194997
0608304 CA EBT SANTA BARBARA CO DSW,7028,,29881,,36909,,2746,,14171,,16917,,5098554
0608502 CA EBT SANTA CLARA COUNTY DSS,14856,,95186,,110042,,6121,,48030,,54151,,15518529
0608702 CA EBT SANTA CRUZ CO DSW,3245,,22083,,25328,,1335,,11913,,13248,,3590932
0608901 CA EBT SHASTA CO DSW,3683,,21042,,24725,,1489,,11324,,12813,,3372779
0609101 CA EBT SIERRA CO HUMAN SVCS,19,,301,,320,,7,,171,,178,,42314
0609301 CA EBT SISKIYOU CO DSW,1245,,5742,,6987,,457,,2763,,3220,,971017
0609502 CA EBT SOLANO CO DSW,7646,,35490,,43136,,3160,,19047,,22207,,6252410
0609701 CA EBT SONOMA CO DSW,4633,,30687,,35320,,1903,,17781,,19684,,4972095
0609902 CA EBT STANISLAUS CO. DSS,16898,,74436,,91334,,6410,,36083,,42493,,12882820
0610101 CA EBT SUTTER CO WELF DEPT,2170,,10811,,12981,,805,,4811,,5616,,1807556
0610301 CA EBT TEHAMA CO DSW,1819,,8401,,10220,,672,,4030,,4702,,1413715
0610501 CA EBT TRINITY CO DSW,193,,1636,,1829,,77,,919,,996,,266003
0610704 CA EBT TULARE COUNTY DSS,25329,,97574,,122903,,9198,,42841,,52039,,17176264
0610901 CA EBT TUOLUMNE CO WELF DEPT,844,,4558,,5402,,338,,2658,,2996,,774042
0611101 CA EBT VENTURA CO.,8906,,64699,,73605,,3534,,32681,,36215,,10293285
0611301 CA EBT YOLO CO DSW,2753,,16922,,19675,,1059,,8611,,9670,,2761290
0611501 CA EBT YUBA CO WELFARE DEPT,2558,,10588,,13146,,930,,5074,,6004,,1866275
0800301 CO EBT ALAMOSA CO DSS,802,,3371,,4173,,391,,1811,,2202,,549711
0800701 CO EBT ARCHULETA CO DSS,90,,983,,1073,,51,,453,,504,,130969
0800901 CO EBT BACA CO DSS,47,,408,,455,,26,,170,,196,,50400
0801101 CO EBT BENT CO DSS,149,,816,,965,,84,,438,,522,,117275
