NATIONAL DATA BANK VERSION 8.2 - PRELOAD,,,,,,,2/12/2021, ,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0609502 CA EBT SOLANO CO DSW,6136,,30646,,36782,,3367,,17200,,20567,,4838991
0609701 CA EBT SONOMA CO DSW,3396,,22609,,26005,,1978,,13801,,15779,,3267579
0609902 CA EBT STANISLAUS CO. DSS,13165,,59264,,72429,,6422,,30153,,36575,,9148936
0610101 CA EBT SUTTER CO WELF DEPT,2082,,9078,,11160,,980,,4190,,5170,,1396239
0610301 CA EBT TEHAMA CO DSW,1710,,7788,,9498,,978,,3864,,4842,,1136160
0610501 CA EBT TRINITY CO DSW,270,,1380,,1650,,170,,832,,1002,,212260
0610704 CA EBT TULARE COUNTY DSS,20381,,91259,,111640,,8547,,41182,,49729,,14405918
0610901 CA EBT TUOLUMNE CO WELF DEPT,719,,3945,,4664,,463,,2477,,2940,,578466
0611101 CA EBT VENTURA CO.,7254,,55093,,62347,,3892,,29184,,33076,,7212211
0611301 CA EBT YOLO CO DSW,2433,,15964,,18397,,1412,,9552,,10964,,2406243
0611501 CA EBT YUBA CO WELFARE DEPT,2707,,10709,,13416,,1381,,5330,,6711,,1675193
0800301 CO EBT ALAMOSA CO DSS,615,,4012,,4627,,352,,2308,,2660,,1008830
0800701 CO EBT ARCHULETA CO DSS,125,,1550,,1675,,71,,745,,816,,356865
0800901 CO EBT BACA CO DSS,91,,597,,688,,50,,272,,322,,156701
0801101 CO EBT BENT CO DSS,115,,893,,1008,,70,,483,,553,,218284
0801301 CO EBT BOULDER CO DSS,1867,,15470,,17337,,1081,,8680,,9761,,3968476
0801501 CO EBT CHAFFEE CO DSS,170,,1646,,1816,,98,,993,,1091,,384203
0801701 CO EBT CHEYENNE CO DSS,12,,178,,190,,8,,78,,86,,43777
0801901 CO EBT CLEAR CREEK,57,,632,,689,,41,,399,,440,,136405
0802101 CO EBT CONEJOS CO DSS,258,,1372,,1630,,144,,710,,854,,365364
0802301 CO EBT COSTILLA CO DSS,199,,1111,,1310,,120,,634,,754,,283926
0802501 CO EBT CROWLEY CO DSS,127,,805,,932,,64,,428,,492,,205708
0802701 CO EBT CUSTER CO DSS,65,,404,,469,,28,,251,,279,,102030
0802901 CO EBT DELTA CO DSS,224,,4388,,4612,,167,,2182,,2349,,1029421
0803102 CO EBT DENVER,10276,,79149,,89425,,6307,,42874,,49181,,20710393
0803301 CO EBT DOLORES CO DSS,26,,215,,241,,15,,90,,105,,51752
0803501 CO EBT DOUGLAS,380,,6576,,6956,,245,,3136,,3381,,1426050
0803701 CO EBT EAGLE CO DSS,114,,1669,,1783,,63,,917,,980,,387480
0803901 CO EBT ELBERT CO DSS,40,,964,,1004,,23,,445,,468,,224230
0804101 CO EBT EL PASO CO DSS,7165,,76251,,83416,,3410,,38281,,41691,,18599936
0804301 CO EBT FREMONT CO DSS,706,,7040,,7746,,415,,3696,,4111,,1666821
0804501 CO EBT GARFIELD CO DSS,410,,4312,,4722,,221,,2103,,2324,,1052788
0804701 CO EBT GILPIN,27,,565,,592,,17,,309,,326,,127506
0804901 CO EBT GRAND,33,,567,,600,,18,,314,,332,,128155
0805101 CO EBT GUNN HINSDALE CO DSS,127,,1192,,1319,,61,,687,,748,,287269
0805301 CO EBT HINSDALE,0,,11,,11,,0,,7,,7,,1921
