NATIONAL DATA BANK VERSION 8.2,,,,,,,,08/05/2020,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0502701 AR EBT COLUMBIA COUNTY,60,,3523,,3583,,19,,1710,,1729,,384283
0502901 AR EBT CONWAY COUNTY,59,,2739,,2798,,18,,1300,,1318,,296008
0503101 AR EBT CRAIGHEAD COUNTY,227,,12892,,13119,,68,,5267,,5335,,1414385
0503301 AR EBT CRAWFORD COUNTY,131,,6691,,6822,,37,,2827,,2864,,717642
0503501 AR EBT CRITTENDEN COUNTY,334,,10050,,10384,,87,,4496,,4583,,1170056
0503701 AR EBT CROSS COUNTY,31,,2248,,2279,,9,,1037,,1046,,235663
0503901 AR EBT DALLAS COUNTY,31,,941,,972,,9,,462,,471,,95856
0504101 AR EBT DESHA COUNTY,44,,2231,,2275,,15,,1086,,1101,,248009
0504301 AR EBT DREW COUNTY,77,,2721,,2798,,20,,1304,,1324,,315383
0504501 AR EBT FAULKNER COUNTY,166,,9009,,9175,,51,,4001,,4052,,1013183
0504701 AR EBT FRANKLIN COUNTY,13,,1829,,1842,,4,,801,,805,,179885
0504901 AR EBT FULTON COUNTY,25,,1696,,1721,,7,,823,,830,,164801
0505101 AR EBT GARLAND COUNTY,104,,12699,,12803,,36,,5988,,6024,,1432450
0505301 AR EBT GRANT COUNTY,20,,1492,,1512,,6,,651,,657,,165226
0505501 AR EBT GREENE COUNTY,101,,5707,,5808,,31,,2571,,2602,,625686
0505701 AR EBT HEMPSTEAD COUNTY,50,,2903,,2953,,11,,1337,,1348,,300877
0505901 AR EBT HOT SPRING COUNTY,16,,3747,,3763,,5,,1734,,1739,,406964
0506101 AR EBT HOWARD COUNTY,29,,1840,,1869,,9,,778,,787,,204393
0506301 AR EBT INDEPENDENCE COUNTY,60,,4144,,4204,,21,,1831,,1852,,426232
0506501 AR EBT IZARD COUNTY,15,,1583,,1598,,5,,775,,780,,154554
0506701 AR EBT JACKSON COUNTY,66,,2723,,2789,,19,,1325,,1344,,306096
0506901 AR EBT JEFFERSON COUNTY,277,,12708,,12985,,86,,6347,,6433,,1551444
0507101 AR EBT JOHNSON COUNTY,34,,3739,,3773,,11,,1579,,1590,,385840
0507301 AR EBT LAFAYETTE COUNTY,12,,1050,,1062,,3,,531,,534,,103096
0507501 AR EBT LAWRENCE COUNTY,25,,2391,,2416,,9,,1096,,1105,,234732
0507701 AR EBT LEE COUNTY,90,,1894,,1984,,26,,1022,,1048,,227002
0507901 AR EBT LINCOLN COUNTY,33,,1457,,1490,,9,,733,,742,,154308
0508101 AR EBT LITTLE RIVER COUNTY,37,,1607,,1644,,11,,728,,739,,171923
0508301 AR EBT LOGAN COUNTY,34,,2743,,2777,,11,,1249,,1260,,282383
0508501 AR EBT LONOKE COUNTY,39,,5859,,5898,,13,,2590,,2603,,641255
0508701 AR EBT MADISON COUNTY,24,,1787,,1811,,7,,738,,745,,188058
0508901 AR EBT MARION COUNTY,37,,2019,,2056,,11,,921,,932,,215791
0509101 AR EBT MILLER COUNTY,266,,5759,,6025,,82,,2629,,2711,,676454
0509301 AR EBT MISSISSIPPI COUNTY,175,,7531,,7706,,51,,3468,,3519,,816183
0509501 AR EBT MONROE COUNTY,14,,1383,,1397,,6,,673,,679,,137799
0509701 AR EBT MONTGOMERY COUNTY,11,,1018,,1029,,4,,478,,482,,101697
0509901 AR EBT NEVADA COUNTY,29,,936,,965,,9,,439,,448,,97834
0510101 AR EBT NEWTON COUNTY,12,,929,,941,,5,,434,,439,,85352
0510301 AR EBT OUACHITA COUNTY,91,,3683,,3774,,24,,1840,,1864,,420918
0510501 AR EBT PERRY COUNTY,17,,1144,,1161,,5,,534,,539,,127643
0510701 AR EBT PHILLIPS COUNTY,280,,5578,,5858,,84,,2633,,2717,,661651
0510901 AR EBT PIKE COUNTY,8,,1344,,1352,,3,,574,,577,,143003
0511101 AR EBT POINSETT COUNTY,96,,4112,,4208,,27,,1940,,1967,,431251
0511301 AR EBT POLK COUNTY,70,,2714,,2784,,23,,1255,,1278,,285456
0511501 AR EBT POPE COUNTY,34,,5961,,5995,,12,,2661,,2673,,629845
0511701 AR EBT PRAIRIE COUNTY,27,,762,,789,,9,,375,,384,,82245
0511901 AR EBT PULASKI COUNTY,1089,,50591,,51680,,327,,23503,,23830,,6155071
0512101 AR EBT RANDOLPH COUNTY,31,,2134,,2165,,9,,1018,,1027,,208381
0512301 AR EBT SAINT FRANCIS COUNTY,151,,5095,,5246,,42,,2367,,2409,,592675
0512501 AR EBT SALINE COUNTY,56,,7128,,7184,,19,,3172,,3191,,807626
0512701 AR EBT SCOTT COUNTY,21,,1762,,1783,,7,,741,,748,,176292
0512901 AR EBT SEARCY COUNTY,24,,857,,881,,7,,425,,432,,75191
0513101 AR EBT SEBASTIAN COUNTY,263,,15697,,15960,,78,,7282,,7360,,1779781
0513301 AR EBT SEVIER COUNTY,36,,2163,,2199,,11,,934,,945,,234206
0513501 AR EBT SHARP COUNTY,43,,2461,,2504,,14,,1184,,1198,,240382
0513701 AR EBT STONE COUNTY,40,,1738,,1778,,10,,831,,841,,164003
0513901 AR EBT UNION COUNTY,69,,5421,,5490,,25,,2545,,2570,,622327
0514101 AR EBT VAN BUREN COUNTY,18,,1999,,2017,,6,,914,,920,,207612
0514301 AR EBT WASHINGTON COUNTY,287,,14443,,14730,,81,,6253,,6334,,1577977
0514501 AR EBT WHITE COUNTY,174,,8542,,8716,,50,,3920,,3970,,943953
