NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:11 PM,,,,,
Jan 1997,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0801101 CO FSP BENT CO DSS,221,,531,,752,,106,,198,,304,,46476
0801301 CO FSP BOULDER CO DSS,3403,,4128,,7531,,1550,,2095,,3645,,532359
0801501 CO FSP CHAFFEE CO DSS,210,,666,,876,,121,,288,,409,,55534
0801701 CO FSP CHEYENNE CO DSS,45,,46,,91,,25,,18,,43,,4283
0802101 CO FSP CONEJOS CO DSS,499,,1173,,1672,,255,,399,,654,,100839
0802301 CO FSP COSTILLA CO DSS,454,,761,,1215,,243,,323,,566,,67610
0802501 CO FSP CROWLEY CO DSS,217,,563,,780,,99,,186,,285,,45243
0802701 CO FSP CUSTER CO DSS,67,,158,,225,,22,,62,,84,,15627
0802901 CO FSP DELTA CO DSS,497,,1689,,2186,,255,,642,,897,,143031
0803102 CO FSP DENVER,24073,,31143,,55216,,10454,,14148,,24602,,4155048
0803301 CO FSP DOLORES CO DSS,38,,74,,112,,20,,31,,51,,6911
0803701 CO FSP EAGLE CO DSS,57,,213,,270,,31,,97,,128,,19594
0803901 CO FSP ELBERT CO DSS,89,,207,,296,,38,,75,,113,,20989
0804101 CO FSP EL PASO CO DSS,8600,,14370,,22970,,3659,,6020,,9679,,1706402
0804301 CO FSP FREMONT CO DSS,952,,2236,,3188,,425,,868,,1293,,220464
0804501 CO FSP GARFIELD CO DSS,893,,599,,1492,,389,,251,,640,,112786
0805101 CO FSP GUNN HINSDALE CO DSS,106,,362,,468,,48,,176,,224,,36857
0805501 CO FSP HUERFANO CO DSS,350,,623,,973,,175,,253,,428,,59385
0805901 CO FSP JEFFERSON CO DSS,3881,,5845,,9726,,1739,,2487,,4226,,723252
0806101 CO FSP KIOWA CO DSS,11,,53,,64,,3,,18,,21,,3430
0806301 CO FSP KIT CARSON CO DSS,119,,256,,375,,51,,93,,144,,21618
0806501 CO FSP LAKE CO DSS,28,,128,,156,,13,,47,,60,,11594
0806701 CO FSP LA PLATA CO DSS,259,,1179,,1438,,135,,514,,649,,96188
0806901 CO FSP LARIMER CO DSS,2875,,5020,,7895,,1219,,2051,,3270,,572411
0807101 CO FSP LAS ANIMAS CO DSS,698,,1515,,2213,,327,,618,,945,,137438
0807301 CO FSP LINCOLN CO DSS,104,,149,,253,,44,,55,,99,,14707
0807501 CO FSP LOGAN CO DSS,367,,860,,1227,,159,,352,,511,,73045
0807701 CO FSP MESA CO DSS,2825,,4879,,7704,,1291,,2154,,3445,,514499
0808101 CO FSP MOFFAT CO DSS,624,,176,,800,,257,,83,,340,,51691
0808301 CO FSP MONTEZUMA CO DSS,538,,1856,,2394,,218,,632,,850,,166578
0808501 CO FSP MONTROSE CO DSS,524,,1397,,1921,,214,,530,,744,,126715
0808701 CO FSP MORGAN CO DSS,528,,1168,,1696,,216,,413,,629,,111864
0808901 CO FSP OTERO CO DSS,1309,,2226,,3535,,588,,858,,1446,,217008
0809101 CO FSP OURAY CO DSS,18,,62,,80,,10,,31,,41,,6290
0809301 CO FSP PARK CO DSS,84,,211,,295,,36,,80,,116,,22135
0809501 CO FSP PHILLIPS CO DSS,37,,99,,136,,23,,37,,60,,6001
0809901 CO FSP PROWERS CO DSS,368,,1410,,1778,,189,,514,,703,,103443
0810101 CO FSP PUEBLO CO DSS,9736,,8839,,18575,,4022,,3811,,7833,,1296211
0810301 CO FSP RIO BLANCO CO DSS,69,,120,,189,,30,,40,,70,,13038
0810501 CO FSP RIO GRANDE CO DSS,659,,1530,,2189,,294,,555,,849,,143584
0810701 CO FSP ROUTT CO DSS,69,,193,,262,,33,,100,,133,,18154
0810901 CO FSP SAGUACHE CO DSS,294,,903,,1197,,119,,354,,473,,76427
0811101 CO FSP SAN JUAN CO DSS,16,,45,,61,,8,,16,,24,,4739
0811301 CO FSP SAN MIGUEL CO DSS,24,,104,,128,,11,,42,,53,,8377
0811501 CO FSP SEDGWICK CO DSS,51,,99,,150,,24,,42,,66,,7641
0811701 CO FSP SUMMIT CO DSS,24,,56,,80,,11,,29,,40,,5312
0811901 CO FSP TELLER CO DSS,127,,632,,759,,56,,244,,300,,55206
0812101 CO FSP WASHINGTON CO DSS,44,,115,,159,,16,,44,,60,,8037
0812301 CO FSP WELD CO DSS,2333,,6537,,8870,,951,,2278,,3229,,614199
0812501 CO FSP YUMA CO DSS,117,,259,,376,,57,,99,,156,,21169
0812701 CO FSP ADAMS CO DSS,6811,,11329,,18140,,2777,,4186,,6963,,1319149
0812901 CO FSP ARAPAHO CO. DSS,6352,,8307,,14659,,2650,,3345,,5995,,1116488
0990112 CT FSP BRIDGEPORT DIST THREE,31151,,6008,,37159,,12625,,3487,,16112,,2477842
0990317 CT FSP HARTFORD DIST ONE,49443,,8991,,58434,,20775,,5704,,26479,,3815567
0990517 CT FSP MIDDLETOWN (WD),20170,,4371,,24541,,8114,,2587,,10701,,1577350
0990709 CT FSP NEW HAVEN DIST TWO,33475,,7279,,40754,,14130,,4142,,18272,,2656254
0990909 CT FSP NORWICH DIST FOUR,15458,,4167,,19625,,6724,,2262,,8986,,1087611
