NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:50 AM,,,,,
Jul 2008,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0800701 CO EBT ARCHULETA CO DSS,78,,386,,464,,41,,154,,195,,43683
0800901 CO EBT BACA CO DSS,36,,214,,250,,22,,100,,122,,23905
0801101 CO EBT BENT CO DSS,132,,598,,730,,72,,292,,364,,67978
0801301 CO EBT BOULDER CO DSS,1410,,6660,,8070,,799,,3203,,4002,,864087
0801501 CO EBT CHAFFEE CO DSS,94,,535,,629,,71,,257,,328,,55048
0801701 CO EBT CHEYENNE CO DSS,9,,75,,84,,7,,32,,39,,5989
0801901 CO EBT CLEAR CREEK,54,,227,,281,,42,,122,,164,,28035
0802101 CO EBT CONEJOS CO DSS,250,,1103,,1353,,148,,432,,580,,120267
0802301 CO EBT COSTILLA CO DSS,143,,509,,652,,100,,235,,335,,65107
0802501 CO EBT CROWLEY CO DSS,130,,446,,576,,77,,185,,262,,52148
0802701 CO EBT CUSTER CO DSS,13,,188,,201,,10,,79,,89,,20092
0802901 CO EBT DELTA CO DSS,248,,1908,,2156,,159,,827,,986,,210182
0803102 CO EBT DENVER,7242,,42242,,49484,,4725,,18322,,23047,,5642286
0803301 CO EBT DOLORES CO DSS,9,,64,,73,,8,,31,,39,,6664
0803501 CO EBT DOUGLAS,296,,2292,,2588,,168,,863,,1031,,274584
0803701 CO EBT EAGLE CO DSS,33,,384,,417,,19,,177,,196,,44394
0803901 CO EBT ELBERT CO DSS,80,,509,,589,,34,,185,,219,,64155
0804101 CO EBT EL PASO CO DSS,4451,,30982,,35433,,2103,,12565,,14668,,4217128
0804301 CO EBT FREMONT CO DSS,542,,2283,,2825,,297,,961,,1258,,277957
0804501 CO EBT GARFIELD CO DSS,247,,1247,,1494,,120,,552,,672,,163932
0804701 CO EBT GILPIN,28,,136,,164,,22,,66,,88,,18469
0804901 CO EBT GRAND,19,,223,,242,,15,,92,,107,,24140
0805101 CO EBT GUNN HINSDALE CO DSS,37,,307,,344,,23,,149,,172,,36241
0805301 CO EBT HINSDALE,0,,6,,6,,0,,5,,5,,795
0805501 CO EBT HUERFANO CO DSS,105,,900,,1005,,84,,389,,473,,99893
0805701 CO EBT JACKSON,9,,72,,81,,4,,25,,29,,7209
0805901 CO EBT JEFFERSON CO DSS,1708,,12052,,13760,,984,,4987,,5971,,1689349
0806101 CO EBT KIOWA CO DSS,9,,87,,96,,4,,34,,38,,9873
0806301 CO EBT KIT CARSON CO DSS,41,,273,,314,,22,,122,,144,,27005
0806501 CO EBT LAKE CO DSS,8,,185,,193,,7,,74,,81,,17189
0806701 CO EBT LA PLATA CO DSS,183,,1855,,2038,,128,,794,,922,,204644
0806901 CO EBT LARIMER CO DSS,2312,,10391,,12703,,1095,,4421,,5516,,1348839
0807101 CO EBT LAS ANIMAS CO DSS,177,,1267,,1444,,153,,605,,758,,138294
0807301 CO EBT LINCOLN CO DSS,13,,309,,322,,11,,121,,132,,31473
0807501 CO EBT LOGAN CO DSS,274,,1117,,1391,,118,,534,,652,,128860
0807701 CO EBT MESA CO DSS,759,,7577,,8336,,498,,3243,,3741,,885537
0807901 CO EBT MINERAL,5,,14,,19,,2,,7,,9,,2132
0808101 CO EBT MOFFAT CO DSS,74,,620,,694,,46,,297,,343,,73934
0808301 CO EBT MONTEZUMA CO DSS,232,,1790,,2022,,128,,668,,796,,193275
0808501 CO EBT MONTROSE CO DSS,437,,2606,,3043,,229,,1122,,1351,,292854
0808701 CO EBT MORGAN CO DSS,377,,1362,,1739,,161,,553,,714,,170387
0808901 CO EBT OTERO CO DSS,378,,2442,,2820,,269,,972,,1241,,259753
0809101 CO EBT OURAY CO DSS,6,,69,,75,,6,,41,,47,,7502
0809301 CO EBT PARK CO DSS,116,,577,,693,,50,,234,,284,,73929
0809501 CO EBT PHILLIPS CO DSS,18,,182,,200,,12,,79,,91,,17495
0809701 CO EBT PITKIN,3,,39,,42,,3,,31,,34,,5408
0809901 CO EBT PROWERS CO DSS,219,,1497,,1716,,122,,621,,743,,166106
0810101 CO EBT PUEBLO CO DSS,2363,,20549,,22912,,1689,,8351,,10040,,2406872
0810301 CO EBT RIO BLANCO CO DSS,14,,164,,178,,6,,69,,75,,19591
0810501 CO EBT RIO GRANDE CO DSS,300,,1754,,2054,,174,,801,,975,,207241
0810701 CO EBT ROUTT CO DSS,24,,213,,237,,14,,117,,131,,19032
0810901 CO EBT SAGUACHE CO DSS,115,,769,,884,,70,,318,,388,,85575
0811101 CO EBT SAN JUAN CO DSS,4,,22,,26,,1,,14,,15,,2995
0811301 CO EBT SAN MIGUEL CO DSS,15,,78,,93,,11,,43,,54,,7521
0811501 CO EBT SEDGWICK CO DSS,11,,120,,131,,10,,51,,61,,10252
0811701 CO EBT SUMMIT CO DSS,18,,365,,383,,11,,181,,192,,41737
0811901 CO EBT TELLER CO DSS,113,,969,,1082,,65,,398,,463,,109304
0812101 CO EBT WASHINGTON CO DSS,30,,128,,158,,17,,54,,71,,12753
0812301 CO EBT WELD CO DSS,1251,,10913,,12164,,656,,3953,,4609,,1271175
