NATIONAL DATA BANK VERSION 8.2 - PUBLIC,,,,,,,,10/15/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2019,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0603101 CA EBT KINGS COUNTY DPW,4695,,18418,,23113,,2112,,8761,,10873,,2810043
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,2312,,9805,,12117,,1517,,5713,,7230,,1481308
0603501 CA EBT LASSEN CO DSW,683,,2341,,3024,,357,,1286,,1643,,383849
0603720 CA EBT LOS ANGELES COUNTY DPSS,251827,,863040,,1114867,,144671,,477912,,622583,,147310310
0603902 CA EBT MADERA CO DSW,4700,,20860,,25560,,1983,,8988,,10971,,3200170
0604102 CA EBT MARIN COUNTY DSW,1583,,7973,,9556,,1048,,5215,,6263,,1256343
0604301 CA EBT MARIPOSA CO DSW,290,,1687,,1977,,161,,964,,1125,,238380
0604501 CA EBT MENDOCINO CO WELF DEPT,1450,,9806,,11256,,893,,5511,,6404,,1468951
0604701 CA EBT MERCED CO DPW,9395,,41898,,51293,,4558,,19290,,23848,,6391911
0604901 CA EBT MODOC COUNTY DSS,293,,1063,,1356,,162,,540,,702,,157410
0605101 CA EBT MONO CO WELFARE DEPT,32,,556,,588,,17,,324,,341,,76465
0605302 CA EBT MONTEREY CO DSW,4676,,31330,,36006,,2270,,15088,,17358,,4431396
0605502 CA EBT NAPA CO WELFARE DEPT,742,,4600,,5342,,434,,2447,,2881,,634179
0605701 CA EBT NEVADA CO DPSS,972,,6635,,7607,,608,,4099,,4707,,961024
0605903 CA EBT ORANGE CO DSW,27551,,170112,,197663,,14458,,89012,,103470,,24504197
0606101 CA EBT PLACER CO WELFARE DEPT,2015,,12413,,14428,,1162,,7172,,8334,,1716180
0606301 CA EBT PLUMAS COUNTY DSS,229,,1873,,2102,,134,,1079,,1213,,266655
0606503 CA EBT RIVERSIDE COUNTY DSS,39365,,200931,,240296,,18944,,98406,,117350,,30759275
0606703 CA EBT SACRAMENTO CO DSW,41170,,161956,,203126,,21049,,80835,,101884,,26087228
0606902 CA EBT SAN BENITO COUNTY DSS,646,,3776,,4422,,309,,1847,,2156,,548047
0607105 CA EBT SAN BRNDINO CO DPSS AU,58878,,264764,,323642,,28383,,127643,,156026,,41754065
0607301 CA EBT SAN DIEGO CO DSS,35396,,225571,,260967,,18957,,120325,,139282,,31717947
0607502 CA EBT SAN FRANCISCO COUNTY DSS,3964,,53980,,57944,,1735,,38857,,40592,,6708845
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,16634,,76842,,93476,,8718,,36442,,45160,,11694761
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2069,,13392,,15461,,1121,,8180,,9301,,1935612
0608103 CA EBT SAN MATEO COUNTY DSS,2187,,18471,,20658,,1384,,10340,,11724,,2511466
0608304 CA EBT SANTA BARBARA CO DSW,5096,,33162,,38258,,2489,,18494,,20983,,4910922
0608502 CA EBT SANTA CLARA COUNTY DSS,15131,,63717,,78848,,9655,,35951,,45606,,9706562
0608702 CA EBT SANTA CRUZ CO DSW,2784,,20412,,23196,,1580,,12815,,14395,,2998174
0608901 CA EBT SHASTA CO DSW,4078,,18875,,22953,,2512,,10539,,13051,,2714071
0609101 CA EBT SIERRA CO HUMAN SVCS,27,,206,,233,,15,,131,,146,,26479
0609301 CA EBT SISKIYOU CO DSW,1254,,5365,,6619,,691,,2807,,3498,,798687
0609502 CA EBT SOLANO CO DSW,6136,,30646,,36782,,3367,,17200,,20567,,4765629
0609701 CA EBT SONOMA CO DSW,3396,,22609,,26005,,1978,,13801,,15779,,3223047
0609902 CA EBT STANISLAUS CO. DSS,13165,,59264,,72429,,6422,,30153,,36575,,9085393
0610101 CA EBT SUTTER CO WELF DEPT,2082,,9078,,11160,,980,,4190,,5170,,1390297
0610301 CA EBT TEHAMA CO DSW,1710,,7788,,9498,,978,,3864,,4842,,1129440
0610501 CA EBT TRINITY CO DSW,270,,1380,,1650,,170,,832,,1002,,210988
0610704 CA EBT TULARE COUNTY DSS,20381,,91259,,111640,,8547,,41182,,49729,,14261199
0610901 CA EBT TUOLUMNE CO WELF DEPT,719,,3945,,4664,,463,,2477,,2940,,572672
0611101 CA EBT VENTURA CO.,7254,,55093,,62347,,3892,,29184,,33076,,7777613
0611301 CA EBT YOLO CO DSW,2433,,15964,,18397,,1412,,9552,,10964,,2406244
0611501 CA EBT YUBA CO WELFARE DEPT,2707,,10709,,13416,,1381,,5330,,6711,,1663827
0800301 CO EBT ALAMOSA CO DSS,556,,3371,,3927,,314,,1843,,2157,,466785
0800701 CO EBT ARCHULETA CO DSS,76,,1087,,1163,,51,,506,,557,,117714
0800901 CO EBT BACA CO DSS,82,,531,,613,,46,,228,,274,,60226
0801101 CO EBT BENT CO DSS,111,,827,,938,,64,,431,,495,,100787
0801301 CO EBT BOULDER CO DSS,2064,,12665,,14729,,1197,,7160,,8357,,1737793
0801501 CO EBT CHAFFEE CO DSS,126,,1152,,1278,,85,,699,,784,,146840
0801701 CO EBT CHEYENNE CO DSS,10,,171,,181,,5,,71,,76,,19137
0801901 CO EBT CLEAR CREEK,31,,397,,428,,25,,259,,284,,51260
0802101 CO EBT CONEJOS CO DSS,280,,1196,,1476,,145,,509,,654,,160837
0802301 CO EBT COSTILLA CO DSS,221,,901,,1122,,131,,619,,750,,128180
0802501 CO EBT CROWLEY CO DSS,117,,750,,867,,67,,398,,465,,95890
0802701 CO EBT CUSTER CO DSS,52,,340,,392,,26,,207,,233,,44856
0802901 CO EBT DELTA CO DSS,245,,3613,,3858,,170,,1815,,1985,,410605
0803102 CO EBT DENVER,11001,,66524,,77525,,6735,,35039,,41774,,9703917
0803301 CO EBT DOLORES CO DSS,21,,193,,214,,11,,88,,99,,22017
0803501 CO EBT DOUGLAS,349,,4456,,4805,,223,,2169,,2392,,565088
0803701 CO EBT EAGLE CO DSS,104,,898,,1002,,58,,460,,518,,117129
0803901 CO EBT ELBERT CO DSS,40,,741,,781,,20,,338,,358,,91875
0804101 CO EBT EL PASO CO DSS,6751,,58366,,65117,,3191,,28524,,31715,,7816072
0804301 CO EBT FREMONT CO DSS,732,,6082,,6814,,415,,3198,,3613,,758823
0804501 CO EBT GARFIELD CO DSS,247,,2868,,3115,,186,,1440,,1626,,340950
0804701 CO EBT GILPIN,24,,412,,436,,16,,206,,222,,51038
0804901 CO EBT GRAND,25,,359,,384,,12,,198,,210,,38284
0805101 CO EBT GUNN HINSDALE CO DSS,85,,786,,871,,45,,460,,505,,103839
0805301 CO EBT HINSDALE,0,,13,,13,,0,,8,,8,,1045
0805501 CO EBT HUERFANO CO DSS,184,,1445,,1629,,115,,855,,970,,185114
0805701 CO EBT JACKSON,17,,82,,99,,7,,45,,52,,8488
0805901 CO EBT JEFFERSON CO DSS,2867,,24869,,27736,,1749,,12669,,14418,,3348290
0806101 CO EBT KIOWA CO DSS,12,,165,,177,,5,,74,,79,,17585
0806301 CO EBT KIT CARSON CO DSS,67,,673,,740,,33,,307,,340,,79022
0806501 CO EBT LAKE CO DSS,28,,393,,421,,14,,209,,223,,411158
0806701 CO EBT LA PLATA CO DSS,451,,3118,,3569,,246,,1639,,1885,,51945
0806901 CO EBT LARIMER CO DSS,2316,,19869,,22185,,1253,,10224,,11477,,2623476
0807101 CO EBT LAS ANIMAS CO DSS,380,,2690,,3070,,239,,1551,,1790,,360053
0807301 CO EBT LINCOLN CO DSS,21,,468,,489,,12,,221,,233,,49845
0807501 CO EBT LOGAN CO DSS,158,,2014,,2172,,108,,1041,,1149,,229129
0807701 CO EBT MESA CO DSS,1638,,15336,,16974,,919,,7858,,8777,,1961668
0807901 CO EBT MINERAL,4,,22,,26,,3,,15,,18,,3512
0808101 CO EBT MOFFAT CO DSS,143,,1145,,1288,,69,,589,,658,,145596
0808301 CO EBT MONTEZUMA CO DSS,309,,3967,,4276,,199,,1827,,2026,,477249
0808501 CO EBT MONTROSE CO DSS,279,,3993,,4272,,215,,2110,,2325,,448042
0808701 CO EBT MORGAN CO DSS,360,,2258,,2618,,158,,991,,1149,,274079
0808901 CO EBT OTERO CO DSS,432,,3502,,3934,,275,,1705,,1980,,391854
0809101 CO EBT OURAY CO DSS,27,,164,,191,,21,,98,,119,,21187
0809301 CO EBT PARK CO DSS,85,,957,,1042,,62,,522,,584,,127015
0809501 CO EBT PHILLIPS CO DSS,24,,363,,387,,19,,165,,184,,38949
